pair,label,run,score
A1_AAPL,1,1,0.7222
A1_NVDA,1,1,0.7222
A1_TSLA,1,1,0.7222
A2_AAPL,1,1,0.1579
A2_NVDA,1,1,0.2105
A2_TSLA,0,1,0.2222
A3_AAPL,1,1,0.4167
A3_NVDA,1,1,0.3846
A3_TSLA,1,1,0.3846
A4_AAPL,1,1,0.5
A4_NVDA,1,1,0.5556
A4_TSLA,1,1,0.5556
A5_AAPL,1,1,0.4167
A5_NVDA,1,1,0.4242
A5_TSLA,0,1,0.4375
A1_AAPL_d,0,1,0.6667
A1_NVDA_d,0,1,0.6667
A1_TSLA_d,0,1,0.6875
A2_AAPL_d,0,1,0.1579
A2_NVDA_d,0,1,0.2105
A2_TSLA_d,0,1,0.2222
A3_AAPL_d,0,1,0.3846
A3_NVDA_d,0,1,0.3846
A3_TSLA_d,0,1,0.3077
A4_AAPL_d,0,1,0.4
A4_NVDA_d,0,1,0.5
A4_TSLA_d,0,1,0.4444
A5_AAPL_d,0,1,0.4
A5_NVDA_d,0,1,0.359
A5_TSLA_d,0,1,0.4375
A1_AAPL,1,2,0.7222
A1_NVDA,1,2,0.7222
A1_TSLA,1,2,0.7222
A2_AAPL,1,2,0.1579
A2_NVDA,1,2,0.2105
A2_TSLA,0,2,0.2222
A3_AAPL,1,2,0.4167
A3_NVDA,1,2,0.3846
A3_TSLA,1,2,0.3846
A4_AAPL,1,2,0.5
A4_NVDA,1,2,0.5556
A4_TSLA,1,2,0.5556
A5_AAPL,1,2,0.4167
A5_NVDA,1,2,0.4242
A5_TSLA,0,2,0.4375
A1_AAPL_d,0,2,0.6667
A1_NVDA_d,0,2,0.6667
A1_TSLA_d,0,2,0.6875
A2_AAPL_d,0,2,0.1579
A2_NVDA_d,0,2,0.2105
A2_TSLA_d,0,2,0.2222
A3_AAPL_d,0,2,0.3846
A3_NVDA_d,0,2,0.3846
A3_TSLA_d,0,2,0.3077
A4_AAPL_d,0,2,0.4
A4_NVDA_d,0,2,0.5
A4_TSLA_d,0,2,0.4444
A5_AAPL_d,0,2,0.4
A5_NVDA_d,0,2,0.359
A5_TSLA_d,0,2,0.4375
A1_AAPL,1,3,0.7222
A1_NVDA,1,3,0.7222
A1_TSLA,1,3,0.7222
A2_AAPL,1,3,0.1579
A2_NVDA,1,3,0.2105
A2_TSLA,0,3,0.2222
A3_AAPL,1,3,0.4167
A3_NVDA,1,3,0.3846
A3_TSLA,1,3,0.3846
A4_AAPL,1,3,0.5
A4_NVDA,1,3,0.5556
A4_TSLA,1,3,0.5556
A5_AAPL,1,3,0.4167
A5_NVDA,1,3,0.4242
A5_TSLA,0,3,0.4375
A1_AAPL_d,0,3,0.6667
A1_NVDA_d,0,3,0.6667
A1_TSLA_d,0,3,0.6875
A2_AAPL_d,0,3,0.1579
A2_NVDA_d,0,3,0.2105
A2_TSLA_d,0,3,0.2222
A3_AAPL_d,0,3,0.3846
A3_NVDA_d,0,3,0.3846
A3_TSLA_d,0,3,0.3077
A4_AAPL_d,0,3,0.4
A4_NVDA_d,0,3,0.5
A4_TSLA_d,0,3,0.4444
A5_AAPL_d,0,3,0.4
A5_NVDA_d,0,3,0.359
A5_TSLA_d,0,3,0.4375
A1_AAPL,1,4,0.7222
A1_NVDA,1,4,0.7222
A1_TSLA,1,4,0.7222
A2_AAPL,1,4,0.1579
A2_NVDA,1,4,0.2105
A2_TSLA,0,4,0.2222
A3_AAPL,1,4,0.4167
A3_NVDA,1,4,0.3846
A3_TSLA,1,4,0.3846
A4_AAPL,1,4,0.5
A4_NVDA,1,4,0.5556
A4_TSLA,1,4,0.5556
A5_AAPL,1,4,0.4167
A5_NVDA,1,4,0.4242
A5_TSLA,0,4,0.4375
A1_AAPL_d,0,4,0.6667
A1_NVDA_d,0,4,0.6667
A1_TSLA_d,0,4,0.6875
A2_AAPL_d,0,4,0.1579
A2_NVDA_d,0,4,0.2105
A2_TSLA_d,0,4,0.2222
A3_AAPL_d,0,4,0.3846
A3_NVDA_d,0,4,0.3846
A3_TSLA_d,0,4,0.3077
A4_AAPL_d,0,4,0.4
A4_NVDA_d,0,4,0.5
A4_TSLA_d,0,4,0.4444
A5_AAPL_d,0,4,0.4
A5_NVDA_d,0,4,0.359
A5_TSLA_d,0,4,0.4375
A1_AAPL,1,5,0.7222
A1_NVDA,1,5,0.7222
A1_TSLA,1,5,0.7222
A2_AAPL,1,5,0.1579
A2_NVDA,1,5,0.2105
A2_TSLA,0,5,0.2222
A3_AAPL,1,5,0.4167
A3_NVDA,1,5,0.3846
A3_TSLA,1,5,0.3846
A4_AAPL,1,5,0.5
A4_NVDA,1,5,0.5556
A4_TSLA,1,5,0.5556
A5_AAPL,1,5,0.4167
A5_NVDA,1,5,0.4242
A5_TSLA,0,5,0.4375
A1_AAPL_d,0,5,0.6667
A1_NVDA_d,0,5,0.6667
A1_TSLA_d,0,5,0.6875
A2_AAPL_d,0,5,0.1579
A2_NVDA_d,0,5,0.2105
A2_TSLA_d,0,5,0.2222
A3_AAPL_d,0,5,0.3846
A3_NVDA_d,0,5,0.3846
A3_TSLA_d,0,5,0.3077
A4_AAPL_d,0,5,0.4
A4_NVDA_d,0,5,0.5
A4_TSLA_d,0,5,0.4444
A5_AAPL_d,0,5,0.4
A5_NVDA_d,0,5,0.359
A5_TSLA_d,0,5,0.4375
A1_AAPL,1,6,0.7222
A1_NVDA,1,6,0.7222
A1_TSLA,1,6,0.7222
A2_AAPL,1,6,0.1579
A2_NVDA,1,6,0.2105
A2_TSLA,0,6,0.2222
A3_AAPL,1,6,0.4167
A3_NVDA,1,6,0.3846
A3_TSLA,1,6,0.3846
A4_AAPL,1,6,0.5
A4_NVDA,1,6,0.5556
A4_TSLA,1,6,0.5556
A5_AAPL,1,6,0.4167
A5_NVDA,1,6,0.4242
A5_TSLA,0,6,0.4375
A1_AAPL_d,0,6,0.6667
A1_NVDA_d,0,6,0.6667
A1_TSLA_d,0,6,0.6875
A2_AAPL_d,0,6,0.1579
A2_NVDA_d,0,6,0.2105
