SIMILARITY M1: TF-IDF COSINE (Query ↔ Agent)=======
Pair         Label    Mean       StdDev     Pass
-------------------------------------------------------
AAPL         clean    0.1587     0.0000     FAIL
NVDA         clean    0.0181     0.0000     FAIL
TSLA         clean    0.1150     0.0000     FAIL
AAPL_d       degrad   0.1506     0.0000     FAIL
NVDA_d       degrad   0.0175     0.0000     FAIL
TSLA_d       degrad   0.1150     0.0000     FAIL
pair,label,run,score
AAPL,1,1,0.1587
NVDA,1,1,0.0181
TSLA,1,1,0.115
AAPL_d,0,1,0.1506
NVDA_d,0,1,0.0175
TSLA_d,0,1,0.115
AAPL,1,2,0.1587
NVDA,1,2,0.0181
TSLA,1,2,0.115
AAPL_d,0,2,0.1506
NVDA_d,0,2,0.0175
TSLA_d,0,2,0.115
AAPL,1,3,0.1587
NVDA,1,3,0.0181
TSLA,1,3,0.115
AAPL_d,0,3,0.1506
NVDA_d,0,3,0.0175
TSLA_d,0,3,0.115
AAPL,1,4,0.1587
NVDA,1,4,0.0181
TSLA,1,4,0.115
AAPL_d,0,4,0.1506
NVDA_d,0,4,0.0175
TSLA_d,0,4,0.115
AAPL,1,5,0.1587
NVDA,1,5,0.0181
TSLA,1,5,0.115
AAPL_d,0,5,0.1506
NVDA_d,0,5,0.0175
TSLA_d,0,5,0.115
AAPL,1,6,0.1587
NVDA,1,6,0.0181
TSLA,1,6,0.115
AAPL_d,0,6,0.1506
NVDA_d,0,6,0.0175
TSLA_d,0,6,0.115
AAPL,1,7,0.1587
NVDA,1,7,0.0181
TSLA,1,7,0.115
AAPL_d,0,7,0.1506
NVDA_d,0,7,0.0175
TSLA_d,0,7,0.115
AAPL,1,8,0.1587
NVDA,1,8,0.0181
TSLA,1,8,0.115
AAPL_d,0,8,0.1506
NVDA_d,0,8,0.0175
TSLA_d,0,8,0.115
AAPL,1,9,0.1587
NVDA,1,9,0.0181
TSLA,1,9,0.115
AAPL_d,0,9,0.1506
NVDA_d,0,9,0.0175
TSLA_d,0,9,0.115
AAPL,1,10,0.1587
NVDA,1,10,0.0181
TSLA,1,10,0.115
AAPL_d,0,10,0.1506
NVDA_d,0,10,0.0175
TSLA_d,0,10,0.115
AAPL,1,11,0.1587
NVDA,1,11,0.0181
TSLA,1,11,0.115
AAPL_d,0,11,0.1506
NVDA_d,0,11,0.0175
TSLA_d,0,11,0.115
AAPL,1,12,0.1587
NVDA,1,12,0.0181
TSLA,1,12,0.115
AAPL_d,0,12,0.1506
NVDA_d,0,12,0.0175
TSLA_d,0,12,0.115
AAPL,1,13,0.1587
NVDA,1,13,0.0181
TSLA,1,13,0.115
AAPL_d,0,13,0.1506
NVDA_d,0,13,0.0175
TSLA_d,0,13,0.115
AAPL,1,14,0.1587
NVDA,1,14,0.0181
TSLA,1,14,0.115
AAPL_d,0,14,0.1506
NVDA_d,0,14,0.0175
TSLA_d,0,14,0.115
AAPL,1,15,0.1587
NVDA,1,15,0.0181
TSLA,1,15,0.115
AAPL_d,0,15,0.1506
NVDA_d,0,15,0.0175
TSLA_d,0,15,0.115
AAPL,1,16,0.1587
NVDA,1,16,0.0181
TSLA,1,16,0.115
AAPL_d,0,16,0.1506
NVDA_d,0,16,0.0175
TSLA_d,0,16,0.115
AAPL,1,17,0.1587
NVDA,1,17,0.0181
TSLA,1,17,0.115
AAPL_d,0,17,0.1506
NVDA_d,0,17,0.0175
TSLA_d,0,17,0.115
AAPL,1,18,0.1587
NVDA,1,18,0.0181
TSLA,1,18,0.115
AAPL_d,0,18,0.1506
NVDA_d,0,18,0.0175
TSLA_d,0,18,0.115
AAPL,1,19,0.1587
NVDA,1,19,0.0181
TSLA,1,19,0.115
AAPL_d,0,19,0.1506
NVDA_d,0,19,0.0175
TSLA_d,0,19,0.115
AAPL,1,20,0.1587
NVDA,1,20,0.0181
TSLA,1,20,0.115
AAPL_d,0,20,0.1506
NVDA_d,0,20,0.0175
TSLA_d,0,20,0.115
