=================================================================
SIMILARITY M4: ROUGE (Actual ↔ Reference Answer)
=================================================================
Pair         Label    ROUGE-1      ROUGE-L      Pass
------------------------------------------------------------
AAPL         clean    0.6364       0.5909       PASS
NVDA         clean    0.6719       0.5938       PASS
TSLA         clean    0.6508       0.5873       PASS
AAPL_d       degrad   0.5846       0.5385       PASS
NVDA_d       degrad   0.6370       0.5630       PASS
TSLA_d       degrad   0.6508       0.5873       PASS
pair,label,run,rouge1,rougeL
AAPL,1,1,0.6364,0.5909
NVDA,1,1,0.6719,0.5938
TSLA,1,1,0.6508,0.5873
AAPL_d,0,1,0.5846,0.5385
NVDA_d,0,1,0.637,0.563
TSLA_d,0,1,0.6508,0.5873
AAPL,1,2,0.6364,0.5909
NVDA,1,2,0.6719,0.5938
TSLA,1,2,0.6508,0.5873
AAPL_d,0,2,0.5846,0.5385
NVDA_d,0,2,0.637,0.563
TSLA_d,0,2,0.6508,0.5873
AAPL,1,3,0.6364,0.5909
NVDA,1,3,0.6719,0.5938
TSLA,1,3,0.6508,0.5873
AAPL_d,0,3,0.5846,0.5385
NVDA_d,0,3,0.637,0.563
TSLA_d,0,3,0.6508,0.5873
AAPL,1,4,0.6364,0.5909
NVDA,1,4,0.6719,0.5938
TSLA,1,4,0.6508,0.5873
AAPL_d,0,4,0.5846,0.5385
NVDA_d,0,4,0.637,0.563
TSLA_d,0,4,0.6508,0.5873
AAPL,1,5,0.6364,0.5909
NVDA,1,5,0.6719,0.5938
TSLA,1,5,0.6508,0.5873
AAPL_d,0,5,0.5846,0.5385
NVDA_d,0,5,0.637,0.563
TSLA_d,0,5,0.6508,0.5873
AAPL,1,6,0.6364,0.5909
NVDA,1,6,0.6719,0.5938
TSLA,1,6,0.6508,0.5873
AAPL_d,0,6,0.5846,0.5385
NVDA_d,0,6,0.637,0.563
TSLA_d,0,6,0.6508,0.5873
AAPL,1,7,0.6364,0.5909
NVDA,1,7,0.6719,0.5938
TSLA,1,7,0.6508,0.5873
AAPL_d,0,7,0.5846,0.5385
NVDA_d,0,7,0.637,0.563
TSLA_d,0,7,0.6508,0.5873
AAPL,1,8,0.6364,0.5909
NVDA,1,8,0.6719,0.5938
TSLA,1,8,0.6508,0.5873
AAPL_d,0,8,0.5846,0.5385
NVDA_d,0,8,0.637,0.563
TSLA_d,0,8,0.6508,0.5873
AAPL,1,9,0.6364,0.5909
NVDA,1,9,0.6719,0.5938
TSLA,1,9,0.6508,0.5873
AAPL_d,0,9,0.5846,0.5385
NVDA_d,0,9,0.637,0.563
TSLA_d,0,9,0.6508,0.5873
AAPL,1,10,0.6364,0.5909
NVDA,1,10,0.6719,0.5938
TSLA,1,10,0.6508,0.5873
AAPL_d,0,10,0.5846,0.5385
NVDA_d,0,10,0.637,0.563
TSLA_d,0,10,0.6508,0.5873
AAPL,1,11,0.6364,0.5909
NVDA,1,11,0.6719,0.5938
TSLA,1,11,0.6508,0.5873
AAPL_d,0,11,0.5846,0.5385
NVDA_d,0,11,0.637,0.563
TSLA_d,0,11,0.6508,0.5873
AAPL,1,12,0.6364,0.5909
NVDA,1,12,0.6719,0.5938
TSLA,1,12,0.6508,0.5873
AAPL_d,0,12,0.5846,0.5385
NVDA_d,0,12,0.637,0.563
TSLA_d,0,12,0.6508,0.5873
AAPL,1,13,0.6364,0.5909
NVDA,1,13,0.6719,0.5938
TSLA,1,13,0.6508,0.5873
AAPL_d,0,13,0.5846,0.5385
NVDA_d,0,13,0.637,0.563
TSLA_d,0,13,0.6508,0.5873
AAPL,1,14,0.6364,0.5909
NVDA,1,14,0.6719,0.5938
TSLA,1,14,0.6508,0.5873
AAPL_d,0,14,0.5846,0.5385
NVDA_d,0,14,0.637,0.563
TSLA_d,0,14,0.6508,0.5873
AAPL,1,15,0.6364,0.5909
NVDA,1,15,0.6719,0.5938
TSLA,1,15,0.6508,0.5873
AAPL_d,0,15,0.5846,0.5385
NVDA_d,0,15,0.637,0.563
TSLA_d,0,15,0.6508,0.5873
AAPL,1,16,0.6364,0.5909
NVDA,1,16,0.6719,0.5938
TSLA,1,16,0.6508,0.5873
AAPL_d,0,16,0.5846,0.5385
NVDA_d,0,16,0.637,0.563
TSLA_d,0,16,0.6508,0.5873
AAPL,1,17,0.6364,0.5909
NVDA,1,17,0.6719,0.5938
TSLA,1,17,0.6508,0.5873
AAPL_d,0,17,0.5846,0.5385
NVDA_d,0,17,0.637,0.563
TSLA_d,0,17,0.6508,0.5873
AAPL,1,18,0.6364,0.5909
NVDA,1,18,0.6719,0.5938
TSLA,1,18,0.6508,0.5873
AAPL_d,0,18,0.5846,0.5385
NVDA_d,0,18,0.637,0.563
TSLA_d,0,18,0.6508,0.5873
AAPL,1,19,0.6364,0.5909
NVDA,1,19,0.6719,0.5938
TSLA,1,19,0.6508,0.5873
AAPL_d,0,19,0.5846,0.5385
NVDA_d,0,19,0.637,0.563
TSLA_d,0,19,0.6508,0.5873
AAPL,1,20,0.6364,0.5909
NVDA,1,20,0.6719,0.5938
TSLA,1,20,0.6508,0.5873
AAPL_d,0,20,0.5846,0.5385
NVDA_d,0,20,0.637,0.563
TSLA_d,0,20,0.6508,0.5873
