=================================================================
HALLUCINATION M3: EMBEDDING CONTEXT SIMILARITY
=================================================================
Pair             Label    Mean       StdDev     Pass (>=0.60)
------------------------------------------------------------
A1_AAPL          clean    0.8395     0.0000     PASS
A1_NVDA          clean    0.8253     0.0000     PASS
A1_TSLA          clean    0.8387     0.0000     PASS
A2_AAPL          clean    0.6345     0.0000     PASS
A2_NVDA          clean    0.6524     0.0000     PASS
A2_TSLA          degrad   0.6444     0.0000     PASS
A3_AAPL          clean    0.6473     0.0000     PASS
A3_NVDA          clean    0.6132     0.0000     PASS
A3_TSLA          clean    0.6158     0.0000     PASS
A4_AAPL          clean    0.6868     0.0000     PASS
A4_NVDA          clean    0.7366     0.0000     PASS
A4_TSLA          clean    0.7617     0.0000     PASS
A5_AAPL          clean    0.6875     0.0000     PASS
A5_NVDA          clean    0.6722     0.0000     PASS
A5_TSLA          degrad   0.6597     0.0000     PASS
A1_AAPL_d        degrad   0.8327     0.0000     PASS
A1_NVDA_d        degrad   0.8217     0.0000     PASS
A1_TSLA_d        degrad   0.7811     0.0000     PASS
A2_AAPL_d        degrad   0.6394     0.0000     PASS
A2_NVDA_d        degrad   0.6491     0.0000     PASS
A2_TSLA_d        degrad   0.6444     0.0000     PASS
A3_AAPL_d        degrad   0.6350     0.0000     PASS
A3_NVDA_d        degrad   0.6144     0.0000     PASS
A3_TSLA_d        degrad   0.6089     0.0000     PASS
A4_AAPL_d        degrad   0.7075     0.0000     PASS
A4_NVDA_d        degrad   0.7105     0.0000     PASS
A4_TSLA_d        degrad   0.7387     0.0000     PASS
A5_AAPL_d        degrad   0.6798     0.0000     PASS
A5_NVDA_d        degrad   0.6477     0.0000     PASS
A5_TSLA_d        degrad   0.6597     0.0000     PASS
pair,label,run,score
A1_AAPL,1,1,0.8395
A1_NVDA,1,1,0.8253
A1_TSLA,1,1,0.8387
A2_AAPL,1,1,0.6345
A2_NVDA,1,1,0.6524
A2_TSLA,0,1,0.6444
A3_AAPL,1,1,0.6473
A3_NVDA,1,1,0.6132
A3_TSLA,1,1,0.6158
A4_AAPL,1,1,0.6868
A4_NVDA,1,1,0.7366
A4_TSLA,1,1,0.7617
A5_AAPL,1,1,0.6875
A5_NVDA,1,1,0.6722
A5_TSLA,0,1,0.6597
A1_AAPL_d,0,1,0.8327
A1_NVDA_d,0,1,0.8217
A1_TSLA_d,0,1,0.7811
A2_AAPL_d,0,1,0.6394
A2_NVDA_d,0,1,0.6491
A2_TSLA_d,0,1,0.6444
A3_AAPL_d,0,1,0.635
A3_NVDA_d,0,1,0.6144
A3_TSLA_d,0,1,0.6089
A4_AAPL_d,0,1,0.7075
A4_NVDA_d,0,1,0.7105
A4_TSLA_d,0,1,0.7387
A5_AAPL_d,0,1,0.6798
A5_NVDA_d,0,1,0.6477
A5_TSLA_d,0,1,0.6597
A1_AAPL,1,2,0.8395
A1_NVDA,1,2,0.8253
A1_TSLA,1,2,0.8387
A2_AAPL,1,2,0.6345
A2_NVDA,1,2,0.6524
A2_TSLA,0,2,0.6444
A3_AAPL,1,2,0.6473
A3_NVDA,1,2,0.6132
A3_TSLA,1,2,0.6158
A4_AAPL,1,2,0.6868
A4_NVDA,1,2,0.7366
A4_TSLA,1,2,0.7617
A5_AAPL,1,2,0.6875
A5_NVDA,1,2,0.6722
A5_TSLA,0,2,0.6597
A1_AAPL_d,0,2,0.8327
A1_NVDA_d,0,2,0.8217
A1_TSLA_d,0,2,0.7811
A2_AAPL_d,0,2,0.6394
A2_NVDA_d,0,2,0.6491
A2_TSLA_d,0,2,0.6444
A3_AAPL_d,0,2,0.635
A3_NVDA_d,0,2,0.6144
A3_TSLA_d,0,2,0.6089
A4_AAPL_d,0,2,0.7075
A4_NVDA_d,0,2,0.7105
A4_TSLA_d,0,2,0.7387
A5_AAPL_d,0,2,0.6798
A5_NVDA_d,0,2,0.6477
A5_TSLA_d,0,2,0.6597
A1_AAPL,1,3,0.8395
A1_NVDA,1,3,0.8253
A1_TSLA,1,3,0.8387
A2_AAPL,1,3,0.6345
A2_NVDA,1,3,0.6524
A2_TSLA,0,3,0.6444
A3_AAPL,1,3,0.6473
