============================================================
SIMILARITY M3: BERTScore F1 (Actual ↔ Reference Answer)
============================================================
Pair         Label    BERTScore F1    Pass (>=0.75)
-------------------------------------------------------
AAPL         clean    0.9638          PASS
NVDA         clean    0.9667          PASS
TSLA         clean    0.9628          PASS
AAPL_d       degrad   0.9536          PASS
NVDA_d       degrad   0.9605          PASS
TSLA_d       degrad   0.9628          PASS

pair,label,run,score
AAPL,1,1,0.9638
NVDA,1,1,0.9667
TSLA,1,1,0.9628
AAPL_d,0,1,0.9536
NVDA_d,0,1,0.9605
TSLA_d,0,1,0.9628
AAPL,1,2,0.9638
NVDA,1,2,0.9667
TSLA,1,2,0.9628
AAPL_d,0,2,0.9536
NVDA_d,0,2,0.9605
TSLA_d,0,2,0.9628
AAPL,1,3,0.9638
NVDA,1,3,0.9667
TSLA,1,3,0.9628
AAPL_d,0,3,0.9536
NVDA_d,0,3,0.9605
TSLA_d,0,3,0.9628
AAPL,1,4,0.9638
NVDA,1,4,0.9667
TSLA,1,4,0.9628
AAPL_d,0,4,0.9536
NVDA_d,0,4,0.9605
TSLA_d,0,4,0.9628
AAPL,1,5,0.9638
NVDA,1,5,0.9667
TSLA,1,5,0.9628
AAPL_d,0,5,0.9536
NVDA_d,0,5,0.9605
TSLA_d,0,5,0.9628
AAPL,1,6,0.9638
NVDA,1,6,0.9667
TSLA,1,6,0.9628
AAPL_d,0,6,0.9536
NVDA_d,0,6,0.9605
TSLA_d,0,6,0.9628
AAPL,1,7,0.9638
NVDA,1,7,0.9667
TSLA,1,7,0.9628
AAPL_d,0,7,0.9536
NVDA_d,0,7,0.9605
TSLA_d,0,7,0.9628
AAPL,1,8,0.9638
NVDA,1,8,0.9667
TSLA,1,8,0.9628
AAPL_d,0,8,0.9536
NVDA_d,0,8,0.9605
TSLA_d,0,8,0.9628
AAPL,1,9,0.9638
NVDA,1,9,0.9667
TSLA,1,9,0.9628
AAPL_d,0,9,0.9536
NVDA_d,0,9,0.9605
TSLA_d,0,9,0.9628
AAPL,1,10,0.9638
NVDA,1,10,0.9667
TSLA,1,10,0.9628
AAPL_d,0,10,0.9536
NVDA_d,0,10,0.9605
TSLA_d,0,10,0.9628
AAPL,1,11,0.9638
NVDA,1,11,0.9667
TSLA,1,11,0.9628
AAPL_d,0,11,0.9536
NVDA_d,0,11,0.9605
TSLA_d,0,11,0.9628
AAPL,1,12,0.9638
NVDA,1,12,0.9667
TSLA,1,12,0.9628
AAPL_d,0,12,0.9536
NVDA_d,0,12,0.9605
TSLA_d,0,12,0.9628
AAPL,1,13,0.9638
NVDA,1,13,0.9667
TSLA,1,13,0.9628
AAPL_d,0,13,0.9536
NVDA_d,0,13,0.9605
TSLA_d,0,13,0.9628
AAPL,1,14,0.9638
NVDA,1,14,0.9667
TSLA,1,14,0.9628
AAPL_d,0,14,0.9536
NVDA_d,0,14,0.9605
TSLA_d,0,14,0.9628
AAPL,1,15,0.9638
NVDA,1,15,0.9667
TSLA,1,15,0.9628
AAPL_d,0,15,0.9536
NVDA_d,0,15,0.9605
TSLA_d,0,15,0.9628
AAPL,1,16,0.9638
NVDA,1,16,0.9667
TSLA,1,16,0.9628
AAPL_d,0,16,0.9536
NVDA_d,0,16,0.9605
TSLA_d,0,16,0.9628
AAPL,1,17,0.9638
NVDA,1,17,0.9667
TSLA,1,17,0.9628
AAPL_d,0,17,0.9536
NVDA_d,0,17,0.9605
TSLA_d,0,17,0.9628
AAPL,1,18,0.9638
NVDA,1,18,0.9667
TSLA,1,18,0.9628
AAPL_d,0,18,0.9536
NVDA_d,0,18,0.9605
TSLA_d,0,18,0.9628
AAPL,1,19,0.9638
NVDA,1,19,0.9667
TSLA,1,19,0.9628
AAPL_d,0,19,0.9536
NVDA_d,0,19,0.9605
TSLA_d,0,19,0.9628
AAPL,1,20,0.9638
NVDA,1,20,0.9667
TSLA,1,20,0.9628
AAPL_d,0,20,0.9536
NVDA_d,0,20,0.9605
TSLA_d,0,20,0.9628
