SIMILARITY M2: FAISS + nDCG (Response retrieves correct reference)
============================================================
Pair         Label    Mean nDCG    Rank-1?
--------------------------------------------------
AAPL         clean    0.6309       NO
NVDA         clean    0.6309       NO
TSLA         clean    0.6309       NO
AAPL_d       degrad   1.0000       YES
NVDA_d       degrad   1.0000       YES
TSLA_d       degrad   1.0000       YES

pair,label,run,score
AAPL,1,1,0.6309
NVDA,1,1,0.6309
TSLA,1,1,0.6309
AAPL_d,0,1,1.0
NVDA_d,0,1,1.0
TSLA_d,0,1,1.0
AAPL,1,2,0.6309
NVDA,1,2,0.6309
TSLA,1,2,0.6309
AAPL_d,0,2,1.0
NVDA_d,0,2,1.0
TSLA_d,0,2,1.0
AAPL,1,3,0.6309
NVDA,1,3,0.6309
TSLA,1,3,0.6309
AAPL_d,0,3,1.0
NVDA_d,0,3,1.0
TSLA_d,0,3,1.0
AAPL,1,4,0.6309
NVDA,1,4,0.6309
TSLA,1,4,0.6309
AAPL_d,0,4,1.0
NVDA_d,0,4,1.0
TSLA_d,0,4,1.0
AAPL,1,5,0.6309
NVDA,1,5,0.6309
TSLA,1,5,0.6309
AAPL_d,0,5,1.0
NVDA_d,0,5,1.0
TSLA_d,0,5,1.0
AAPL,1,6,0.6309
NVDA,1,6,0.6309
TSLA,1,6,0.6309
AAPL_d,0,6,1.0
NVDA_d,0,6,1.0
TSLA_d,0,6,1.0
AAPL,1,7,0.6309
NVDA,1,7,0.6309
TSLA,1,7,0.6309
AAPL_d,0,7,1.0
NVDA_d,0,7,1.0
TSLA_d,0,7,1.0
AAPL,1,8,0.6309
NVDA,1,8,0.6309
TSLA,1,8,0.6309
AAPL_d,0,8,1.0
NVDA_d,0,8,1.0
TSLA_d,0,8,1.0
AAPL,1,9,0.6309
NVDA,1,9,0.6309
TSLA,1,9,0.6309
AAPL_d,0,9,1.0
NVDA_d,0,9,1.0
TSLA_d,0,9,1.0
AAPL,1,10,0.6309
NVDA,1,10,0.6309
TSLA,1,10,0.6309
AAPL_d,0,10,1.0
NVDA_d,0,10,1.0
TSLA_d,0,10,1.0
AAPL,1,11,0.6309
NVDA,1,11,0.6309
TSLA,1,11,0.6309
AAPL_d,0,11,1.0
NVDA_d,0,11,1.0
TSLA_d,0,11,1.0
AAPL,1,12,0.6309
NVDA,1,12,0.6309
TSLA,1,12,0.6309
AAPL_d,0,12,1.0
NVDA_d,0,12,1.0
TSLA_d,0,12,1.0
AAPL,1,13,0.6309
NVDA,1,13,0.6309
TSLA,1,13,0.6309
AAPL_d,0,13,1.0
NVDA_d,0,13,1.0
TSLA_d,0,13,1.0
AAPL,1,14,0.6309
NVDA,1,14,0.6309
TSLA,1,14,0.6309
AAPL_d,0,14,1.0
NVDA_d,0,14,1.0
TSLA_d,0,14,1.0
AAPL,1,15,0.6309
NVDA,1,15,0.6309
TSLA,1,15,0.6309
AAPL_d,0,15,1.0
NVDA_d,0,15,1.0
TSLA_d,0,15,1.0
AAPL,1,16,0.6309
NVDA,1,16,0.6309
TSLA,1,16,0.6309
AAPL_d,0,16,1.0
NVDA_d,0,16,1.0
TSLA_d,0,16,1.0
AAPL,1,17,0.6309
NVDA,1,17,0.6309
TSLA,1,17,0.6309
AAPL_d,0,17,1.0
NVDA_d,0,17,1.0
TSLA_d,0,17,1.0
AAPL,1,18,0.6309
NVDA,1,18,0.6309
TSLA,1,18,0.6309
AAPL_d,0,18,1.0
NVDA_d,0,18,1.0
TSLA_d,0,18,1.0
AAPL,1,19,0.6309
NVDA,1,19,0.6309
TSLA,1,19,0.6309
AAPL_d,0,19,1.0
NVDA_d,0,19,1.0
TSLA_d,0,19,1.0
AAPL,1,20,0.6309
NVDA,1,20,0.6309
TSLA,1,20,0.6309
AAPL_d,0,20,1.0
NVDA_d,0,20,1.0
TSLA_d,0,20,1.0
